案件內容_匿名,人工_關鍵詞
聲請人表示年逾77歲，身體多病又無收入，難以維持生活，對造人最近數年有政府徵收土地之收入數百萬元，不給聲請人財產，亦不給生活費，致生糾紛,多病 無收入 徵收土地 不給 財產 生活費
[姓名]與[姓名]84年在大陸結婚，育有女兒2人（                 ），89年[姓名]要求[姓名]攜女返台居住，[姓名]仍於大陸工作，93年6月起未再支付母女3人生活費,大陸 結婚 育有兩女 返台 居住 未再支付 生活費
民國98年1月11日19時30分許，[姓名]至臺南市中西區成功路某洗髮店內找[姓名]，[姓名]入店內大聲叫罵，將[姓名]拖出門外，用門外禁止停車鐵牌毆打[姓名]。,洗髮店 大聲 叫罵 拖出 毆打 地方法院 檢察署
[姓名]98年3月10日與[姓名]訂立買賣契約並收取[姓名]新台幣30萬元簽約及備證款，[姓名]向[姓名]購買台南市北區開南街275巷20弄30號之建物及台南市華興段725－57號建地,買賣契約 簽約 備證款 建物 建地 購屋 糾紛
聲請人所有台南市北區北門路2段527巷4樓之3建物漏水，與樓上臺南市北區北門路2段527巷5樓之3屋主協調修理漏水不成，,建物 漏水 協調 修理
雙方因就90年11月13日訂立[姓名]、[姓名]不動產協助買賣同意書及發票人[姓名]三張[公司]支票退票（票號AHU1826952、到期日95年12月30日、面額新台幣二萬元）（票號AHU1826953、到期日96年6月30日、面額新台幣二萬元）（票號AHU1826954、到期日96年12月30日、面額新台幣二萬元）,不動產 買賣同意書 發票 支票 退票
97年12月20日雙方於台南市北區西門路4段200巷實踐三村國宅管理室細故爭吵，互控傷害，經臺灣臺南地方法院檢察署,國宅 管理室 細故 爭吵 互控 傷害 地方法院 檢察署
為[姓名]之配偶，因與[姓名]發生不正當之交往關係而影響[姓名]與[姓名]夫妻情感。,配偶 不正當 交往關係 夫妻 感情 影響
[姓名]向[姓名]承租台南市北區中華北路1段105巷46號2樓之9之建物，租期至97年11月10日止，期滿未搬離亦未繳交98年1－4月租金，管理費97年3月迄今未繳，請[姓名]繳清後搬離,承租 建物 未搬離 未繳交 租金 管理費
[姓名]98年2月20日3時因與[姓名]檯費糾紛，涉嫌教唆[姓名]、[姓名]於台南市成功路271號前持球棒毆打成傷，經臺灣臺南地方法院檢察署,檯費糾紛 教唆 球棒 毆打 地方法院 檢察署
