id,Main_Category,Is_Successful,Rounds,People,Days,Sub_Category,Content,Keywords,KG_Paths,Explanation
9800182,Civil,Unsuccessful,1,2,9,Alimony,"The relationship between the two is husband and wife. The claimant [name] stated that he has no job and no income, and requires [name] to pay living expenses",Couple No job No income Living expenses,ENTITY_Support->ENTITY_Civil (property)->ENTITY_Living expenses->ENTITY_Support->CASE_10300560->OUTCOME_10300560_Not established | ENTITY_Husband and wife->CASE_9800209->DETAIL_Civil (property)->CASE_10400866->OUTCOME_10400866_Not established | ENTITY_Living expenses->ENTITY_Payment->ENTITY_Civil (property)->ENTITY_Loan->CASE_10300262->OUTCOME_10300262_Not established | ENTITY_Support->ENTITY_Civil (Property)->ENTITY_Business and Lease->ENTITY_Unpaid->CASE_10000637->OUTCOME_10000637_Not Established | ENTITY_Support->ENTITY_Civil (Property)->ENTITY_Neighbor House->ENTITY_Damage->CASE_10400206->OUTCOME_10400206_Not established,"In this case, neither husband nor wife has a job or income, and one party has to bear the living expenses. The two parties have disputes over the method and amount of payment. In addition, the relationship between the husband and wife is complicated, so the possibility of mediation is low."
10000133,Civil,Unsuccessful,1,2,9,Burglary,"The claimant [name] alleges that an approximately 4-inch-wide brick was occupied by an opponent at land No. 488, Kaiyuan Section, North District, Tainan City, leaving two large gaps on the 2nd and 3rd floors adjacent to the claimant, invading privacy, and damaging the iron roof on the fire alley.",Encroachment Bricks Immediately Gap Privacy Tin Roof Damage,ENTITY_Civil (Property)->ENTITY_Emotional Dispute->ENTITY_District Prosecutor’s Referral->ENTITY_Consideration->CASE_10100442->OUTCOME_10100442_Not Established | ENTITY_Trespass and theft->ENTITY_Civil (property)->ENTITY_Mediation->ENTITY_Dispute->CASE_10300226->OUTCOME_10300226_Not established | ENTITY_Civil (Property)->ENTITY_Payment->ENTITY_Couple->ENTITY_Mediation->CASE_10200133->OUTCOME_10200133_Not established | ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_10400566->OUTCOME_10400566_Not established | ENTITY_Occupation->ENTITY_District Prosecutor’s Referral->ENTITY_Emotional Dispute->ENTITY_Mediation->CASE_10300721->OUTCOME_10300721_Not Established,"Due to the serious emotional dispute between the plaintiff and the defendant, the two parties could not reach a consensus when dealing with property and payment issues. In addition, the defendant was not active in compensating for bricks and repair costs. Therefore, mediation in this case was not established."
9800254,Civil,Successful,1,2,1,Debt,"The claimant [name] alleged that as of May 19, 1998, there was a debt dispute of 150,000 yuan with the counterparty [name], and the counterparty [name] alleged a debt dispute of 300,000 yuan.",debt dispute,ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_9800563->OUTCOME_9800563_Established | ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Dispute->CASE_9800499->OUTCOME_9800499_Established | ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_10700073->OUTCOME_10700073_Establishment | ENTITY_Dispute->ENTITY_Civil (Property)->ENTITY_Infringement->ENTITY_Windshield->CASE_10400477->OUTCOME_10400477_Established | ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Purchase->ENTITY_Unpaid->CASE_10300819->OUTCOME_10300819_Established,"Since the two parties had little understanding of the debt dispute and shared a common debt relationship, they were able to reach an agreement smoothly and mediation was established."
9900378,Criminal,Unsuccessful,1,2,12,Debt,"[Name] participated in three mutual aid associations recruited by the informant [Name] on April 10, 1998, and won the bid in June, July, and August of 1998. [Name] only paid part of the membership fee after winning the money, and still owed [Name] more than NT$400,000 in membership fees.",Mutual Aid Association Winning Bid Membership Debt Arrears Referral for Mediation,ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10100418->OUTCOME_10100418_Established | ENTITY_Arrearage->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Mutual Advocacy->CASE_9900256->OUTCOME_9900256_Established | ENTITY_arrears->ENTITY_civil (property)->ENTITY_divorce->ENTITY_claim for mediation->CASE_10000754->OUTCOME_10000754_established | ENTITY_mutual aid association->ENTITY_civil (property)->ENTITY_mediation->ENTITY_repay->CASE_10500684->OUTCOME_10500684_established | ENTITY_Due->ENTITY_Civil (Property)->ENTITY_Purchase->ENTITY_Unpaid->CASE_10200026->OUTCOME_10200026_Established,"Since the two parties had little disagreement on the amount of the membership fee, and the foundation of mutual trust still existed, and the debt type was minor, with the help of a professional mediator, the two parties reached a consensus, successfully completed the mediation, and finally reached a settlement."
10500935,Criminal,Unsuccessful,2,2,15,Fraud,"The claimant stated that at about 20:21 on December 23, at North District, Tainan City , the company pretended that the company wanted to replace the 110CC motorcycle of the Yamaha brand purchased by the claimant in March 2013, and that the motorcycle could be exchanged for the same price within 3 days. As a result, the claimant fell into a mistake and delivered the motorcycle. The complainant then repeatedly delayed the claimant, and charged the claimant an additional NT$6,000 on January 10, pretending to exchange a 125CC motorcycle for. However, the claimant later failed to exchange the motorcycle for the claimant, and the claimant only learned that he had been deceived. During the investigation of the case by the Prosecutor's Office of the Tainan District Court in Taiwan, both parties agreed to mediate the damage compensation part first with this association .",Falling into error Motorcycle rental Additional charge Damages,ENTITY_Damages->ENTITY_Civil (property)->ENTITY_Injury->ENTITY_Both thighs->CASE_9900042->OUTCOME_9900042_Not established,"Since the fraud involved criminal liability and involved major property and payment disputes, the two parties had major differences over the amount of compensation and related details, so the mediation was not established."
10600867,Criminal,Successful,1,2,10,Harassment,"At 1:35 on July 3, 2016, in Ward 585 on the 5th floor of the Xinlou Hospital, Section 1, Dongmen Road, East District, Tainan City, the victim [name] slapped his buttocks while the petitioner was unable to resist, and was involved in a violation of the Sexual Harassment Prevention and Control Act. The case is under investigation by the Prosecutor's Office of the Tainan District Court in Taiwan.",Xinlou Hospital Ward Sexual Harassment Prevention and Control Law Paida Damage Compensation Mediation,ENTITY_beat and break->ENTITY_civil (property)->ENTITY_burning carbon->CASE_10400561->OUTCOME_10400561_established | ENTITY_mediation->ENTITY_civil (property)->ENTITY_dispute->CASE_10300348->OUTCOME_10300348_established | ENTITY_Mediation->ENTITY_Civil (Property)->ENTITY_Inheritance->ENTITY_Pull->CASE_9800464->OUTCOME_9800464_Establishment | ENTITY_District Prosecutor's Referral->ENTITY_Heritage->CASE_10400400->DETAIL_Civil (Property)->CASE_10300711->OUTCOME_10300711_Establishment | ENTITY_Damages->ENTITY_Civil (Property)->ENTITY_Sale and Lease->ENTITY_Check->CASE_10000329->OUTCOME_10000329_Established,"Xinlou Hospital employees sexually harassed patients in the wards, causing physical and mental injuries to the patients. Xinlou Hospital should assume relevant responsibilities and compensate the patients for reasonable damages. Due to the disagreement between the two parties on the amount of damages, the mediation in this case was not successful."
10000386,Criminal,Successful,2,2,14,Injury,"The claimant [name] alleged that he had an argument with his sister on June 19, 100, and threw his belongings to vent his anger. Afterwards, [name] pressed the door button to enter the house. When he saw the claimant throwing things, he got into a disagreement, beat the claimant with a wooden stick, and threatened to beat him every time...etc., causing injuries to the claimant.","Arguing, throwing objects, beating, wooden sticks, threatening",ENTITY_Dispute->ENTITY_Mediation->ENTITY_Demolition->CASE_10600085->OUTCOME_10600085_Not established | ENTITY_Injury dispute->ENTITY_Mediation->ENTITY_Civil (property)->ENTITY_Business->CASE_10000161->OUTCOME_10000161_Not established | ENTITY_beating->ENTITY_Mediation->ENTITY_neighbor->CASE_10300395->OUTCOME_10300395_not established,"Since the two parties differed greatly on the amount of compensation, and the plaintiff had threatened to take legal action against the defendant, the two parties were unable to reach a consensus, so the mediation was unsuccessful."
10400553,Civil,Unsuccessful,1,2,14,Land & Building,"In January 2014, [name] sold a house located in Tainan City (two houses and three persons each had one-third share). The sale price totaled NT$10,000 (the same below), which was collected by [name] and has not been distributed to the two claimants so far.",House sale price collected and distributed,ENTITY_price->ENTITY_civil (property)->ENTITY_heritage->ENTITY_dispute->CASE_10100097->OUTCOME_10100097_not established | ENTITY_house->ENTITY_civil (property)->ENTITY_threat->CASE_10300776->OUTCOME_10300776_not established | ENTITY_Land and Buildings->ENTITY_Civil (property)->ENTITY_House->ENTITY_Mediation->CASE_10400416->OUTCOME_10400416_Not established | ENTITY_distribution->ENTITY_legacy->CASE_10400400->DETAIL_civil (property)->CASE_9900109->OUTCOME_9900109_not established | ENTITY_Civil (Property)->ENTITY_Heritage->ENTITY_Dispute->ENTITY_Injury->CASE_10300213->OUTCOME_10300213_Not established,"Due to major differences between the two parties regarding the allocation of houses and land holdings, and the lack of consensus on the distribution of inheritance, this mediation ultimately failed to be established."
9800534,Criminal,Successful,2,2,14,Traffic Accident,"At about 19:40 on October 1, 1998, the petitioner [name] was riding a motorcycle owned by [name] with [license plate] and the counterparty [name] was driving a passenger car with [license plate] for his own use. They had a car accident at Lane 152, Changbei Street, North District, Tainan City. [name] was injured and both parties' vehicles were damaged.","Motorcycle, private passenger car, injured",ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10300686->OUTCOME_10300686_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100041->OUTCOME_10100041_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10500478->OUTCOME_10500478_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000771->OUTCOME_10000771_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10600088->OUTCOME_10600088_Not established,"Since the two parties reached a consensus on the liability for damages caused by the motorcycle and the private passenger car in the accident, and both parties agreed to the settlement conditions, the mediation was finally established."
9800514,Criminal,Unsuccessful,1,2,8,Traffic Accident,"At about 15:22 on April 15, 1997, [Name] drove a minivan owned by him with [license plate] and [Name] drove a minivan owned by [license plate] and carried a third person [name] and [name]. A car accident occurred at the intersection of Xianbei Street and Daxing Road, Anding Township, Tainan County. Both vehicles were damaged and [name] and [name] were injured.",Self-used minivan Carrying a third person injured in a self-used minibus,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600246->OUTCOME_10600246_Established | ENTITY_Car->ENTITY_Car accident->ENTITY_Body injury->CASE_10400858->OUTCOME_10400858_Not established | ENTITY_Private minivan->ENTITY_Car accident->ENTITY_Passenger car->CASE_10300318->OUTCOME_10300318_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300043->OUTCOME_10300043_Established | ENTITY_Private pickup truck->ENTITY_Car accident->ENTITY_Motorcycle->CASE_10000771->OUTCOME_10000771_Established,"This case involves the injury of a third party and the type of vehicle, and both parties still have disputes over the ownership of the accident, so the possibility of mediation is low."
