id,Main_Category,Is_Successful,Rounds,People,Days,Sub_Category,Content,Keywords,KG_Paths,Explanation
9800150,Criminal,Successful,2,5,34,Traffic Accident,"At about 0:05 on February 7, 1998, the third person [name] rode his motorcycle with [license plate], carrying [name] and [name] driving a passenger car owned by [name] with [license plate], and a car accident occurred at the intersection of Section 3 and Lane 338 of Haian Road, North District, Tainan City.","Motorcycle, private passenger car, alley entrance",ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000460->OUTCOME_10000460_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300607->OUTCOME_10300607_Not established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Traveling->CASE_10500181->OUTCOME_10500181_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000325->OUTCOME_10000325_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100215->OUTCOME_10100215_Established,"Since the motorcycle and the private passenger car collided at an alleyway, both parties were injured, and there was a dispute between the two parties over the ownership of the accident. In addition, the motorcycle and the private passenger car were traveling at different speeds, which made it difficult to collect evidence from the accident scene. Therefore, the possibility of mediation was low."
9800151,Civil,Unsuccessful,2,3,17,Traffic Accident,"At about 19:45 on January 25, 1998, [name] was riding a motorcycle owned by him with [license plate]. At the intersection of Park Road and Changbei Street in Tainan City, he and [name]’s father [name] were riding a bicycle and had a car accident, resulting in [name]’s death.",motorcycle street intersection bicycle death,ENTITY_Death->ENTITY_Pedestrian->ENTITY_Private passenger car->CASE_10600476->OUTCOME_10600476_Established | ENTITY_Car accident damage compensation->ENTITY_Company-owned->ENTITY_Car accident->CASE_10100215->OUTCOME_10100215_Established | ENTITY_Death->ENTITY_Car accident damage compensation->ENTITY_Car accident->CASE_10500236->OUTCOME_10500236_Established | ENTITY_Death->ENTITY_Pedestrian->ENTITY_Own passenger car->CASE_9900068->OUTCOME_9900068_Established | ENTITY_Car accident damage compensation->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10600602->OUTCOME_10600602_Established,"Since the motorcycle rider unfortunately died in the accident, and the accident occurred at a street intersection, causing a collision between the motorcycle and the bicycle, and the bicycle rider also died unfortunately, it was difficult for the three families to reach a consensus on the amount of compensation, so this mediation may not be established in the end."
9800152,Criminal,Unsuccessful,1,3,7,Traffic Accident,"At around 9:49 on February 12, 1998, [Name] was driving [Name]’s private passenger car with [License Plate] and was involved in a car accident with [Name] riding a motorcycle with [License Plate] at the intersection of Wenxian Road and Hewei Road in Tainan City.","Private passenger car, intersection, motorcycle",ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10601040->OUTCOME_10601040_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500778->OUTCOME_10500778_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400013->OUTCOME_10400013_Established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Ride->CASE_10300696->OUTCOME_10300696_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600233->OUTCOME_10600233_Established,"Since the two parties have little disagreement on the amount of compensation, and the evidence at the accident scene is clear and both parties are responsible, the mediation committee believes that the possibility of mediation is high."
9800153,Civil,Unsuccessful,2,2,19,Debt,"The two parties applied for mediation due to disputes over partnership investment, corporate loans and withdrawal of shares.",Partnership investment enterprise loan withdrawal of shares,ENTITY_Partnership->ENTITY_Civil (property)->ENTITY_Purchase->CASE_10100423->OUTCOME_10100423_Not established | ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10500188->OUTCOME_10500188_Not established | ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Land and Building->ENTITY_Residence->CASE_10000332->OUTCOME_10000332_Not Established | ENTITY_Debt->ENTITY_Civil (Property)->ENTITY_Divorce->CASE_9900462->OUTCOME_9900462_Not Established | ENTITY_Civil (Property)->ENTITY_Neighbor->CASE_10300395->CATEGORY_Infringement->CASE_10000486->OUTCOME_10000486_Not established,"Because the partnership investment enterprise involved issues such as withdrawal of shares and loans, and there were disputes regarding the law and the partnership agreement, the mediation was ultimately unsuccessful."
9800154,Criminal,Unsuccessful,2,3,29,Traffic Accident,"At around 21:15 on March 4, 1998, [name] was riding a motorcycle owned by him [license plate], and [name] and [name] were riding a motorcycle owned by [license plate], and a car accident occurred at the intersection of Changbei Street and Beihua Street, North District, Tainan City.",My motorcycle is on board at the intersection,ENTITY_Person->ENTITY_Car accident injury dispute->ENTITY_Private passenger car->CASE_10300607->OUTCOME_10300607_Not established | ENTITY_Carry->ENTITY_Owned by the company->ENTITY_Injury->CASE_10300149->OUTCOME_10300149_Established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Passenger car->CASE_10300318->OUTCOME_10300318_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10500778->OUTCOME_10500778_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10400013->OUTCOME_10400013_Established,"Due to the large gap between the two parties in determining the responsibility for the accident, and the disagreement between the two parties on the amount of compensation, the mediation failed to reach an agreement in the end, so the mediation was not established."
9800157,Criminal,Successful,6,3,53,Traffic Accident,"At about 9:55 on December 18, 1997, [Name] was riding a motorcycle with [License Plate] and [Name] was driving a passenger car with [License Plate]. They were involved in a car accident at the intersection of Chenggong Road and Zhongyi Road, Central West District, Tainan City.","Motorcycle, private passenger car, intersection",ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300580->OUTCOME_10300580_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600972->OUTCOME_10600972_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400590->OUTCOME_10400590_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300326->OUTCOME_10300326_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600528->OUTCOME_10600528_Not established,"Since the motorcycle rider and the driver of his own passenger car collided at an intersection, and the vehicles of both parties were owned by the same company, and the motorcycle rider was seriously injured, the two parties had great differences over the amount of compensation during the mediation process, so the mediation was ultimately unsuccessful."
9800158,Civil,Unsuccessful,1,2,5,Debt,"The claimant alleged that [name] borrowed NT$1,200,800 from the claimant in 1993, and the order of payment No. 36404 issued by the Tainan District Court of Taiwan on September 7, 2004 was recorded in the record.",Loan District Court Payment Order Settlement,ENTITY_District Court->ENTITY_Civil (property)->ENTITY_Mediation->CASE_10100615->OUTCOME_10100615_Not established | ENTITY_District Court->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_9900464->OUTCOME_9900464_Not established | ENTITY_Settlement->ENTITY_Civil (property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (property)->CASE_10200334->OUTCOME_10200334_Not established | ENTITY_Payment Order->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Fraud->CASE_10500711->OUTCOME_10500711_Not Established | ENTITY_Civil (Property)->ENTITY_Emotional Dispute->ENTITY_District Prosecutor’s Referral->ENTITY_Model->CASE_10100577->OUTCOME_10100577_Not Established,"As the two parties had major differences regarding the method and amount of repayment, and the debtor did not respond actively, the mediation process was difficult and ultimately failed."
9800159,Criminal,Unsuccessful,2,3,40,Traffic Accident,"At 19:00 on January 21, 1998, the electric vehicle owned by him was damaged at No. 66-7, Lane 73, Kaiyuan Road, Tainan City, resulting in a dispute with [Name] and [Name]. Mediation was held at 2:30 pm on April 2, 1998. [Name] said that he could not be present due to something. When [Name] arrived, [Name] had already left.",Electric car damaged dispute left,ENTITY_District Inspection Referral->ENTITY_Private Passenger Car->ENTITY_Motorcycle->CASE_10300565->OUTCOME_10300565_Not Established | ENTITY_Damage->ENTITY_Injury->ENTITY_Owned by the Company->CASE_10300051->OUTCOME_10300051_Not Established | ENTITY_Damage->ENTITY_Injury->ENTITY_Private Passenger Car->CASE_10300068->OUTCOME_10300068_Established | ENTITY_District Inspection Referral->ENTITY_Private Passenger Car->ENTITY_Injury->CASE_10100116->OUTCOME_10100116_Established | ENTITY_Damage->ENTITY_Injury->ENTITY_Private passenger car->CASE_10100324->OUTCOME_10100324_Established,"Since the two parties still dispute the responsibility for the damage to the electric vehicle, and the plaintiff has repeatedly requested compensation from the defendant, but has been ignored, the possibility of this mediation being established is relatively high."
9800161,Civil,Unsuccessful,1,2,10,Land & Building,"The claimant stated that he was over 77 years old, was sick and had no income, making it difficult to maintain his life. In recent years, the government had acquired millions of dollars in income from land expropriation, and neither property nor living expenses were given to the claimant, leading to disputes.","Sick, no income, expropriated land, no property, no living expenses",ENTITY_Living expenses->CASE_9800209->DETAIL_Civil (property)->CASE_10000684->CATEGORY_Fraud->CASE_10400461->OUTCOME_10400461_Not established | ENTITY_Land and Buildings->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10400413->OUTCOME_10400413_Not Established | ENTITY_Civil (Property)->ENTITY_Living Expenses->ENTITY_Support->CASE_10300560->OUTCOME_10300560_Not Established | ENTITY_Land and buildings->ENTITY_Civil (Property)->ENTITY_Water leakage->CASE_10600672->OUTCOME_10600672_Not established | ENTITY_Living expenses->CASE_9800209->DETAIL_Civil (Property)->CASE_10400177->OUTCOME_10400177_Not established,"This case involved multiple factors, including land expropriation, property distribution, support fees and debt issues, and both parties still had disputes over relevant details. Therefore, the mediation process was difficult and ultimately resulted in the failure of the mediation."
9800162,Criminal,Unsuccessful,1,5,5,Traffic Accident,"At about 12:30 on March 15, 1998, [name]’s own passenger car with [license plate] was hit by [name] driving a passenger car owned by [company] with [license plate] at No. 44, Lane 21, Lane 101, Nanyuan Street, North District, Tainan City, causing damage to both vehicles.","Private passenger car owned by the company, collision, damage to the car",ENTITY_Collision->ENTITY_Owned passenger car->ENTITY_Injury->CASE_9900074->OUTCOME_9900074_Not established | ENTITY_Owned by the company->CASE_10100552->DETAIL_Car accident injury dispute->CASE_9800389->OUTCOME_9800389_Not established | ENTITY_Crash->ENTITY_Owned passenger car->ENTITY_Motorcycle->CASE_10600218->OUTCOME_10600218_Established | ENTITY_Owned passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500304->OUTCOME_10500304_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->CASE_10100420->DETAIL_Car accident damage compensation->CASE_10000391->OUTCOME_10000391_Not established,"Due to the large differences between the two parties regarding the amount of compensation and the lack of evidence at the accident scene, it was difficult for the mediation committee members to reach a consensus, so the mediation in this case was not established."
